Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A006200072_119952	88.56893871249426	52559979	85.64	50820447.0					
A006200072_119952_1					67.37613389965223	49.0	99.0	27.27272727272727	59343580.0
A006200072_119952_2					64.45636791078229	49.0	98.0	9.090909090909092	59343580.0
A006200072_119954	87.79571890763935	40942602	86.88	40516177.0					
A006200072_119954_1					62.85187532932181	48.0	99.0	27.27272727272727	46633939.0
A006200072_119954_2					60.06258617865428	48.0	98.0	9.090909090909092	46633939.0
A006200072_119956	87.58458566409905	51561480	85.16	50131214.0					
A006200072_119956_1					65.8378387269772	49.0	99.0	27.27272727272727	58870496.0
A006200072_119956_2					62.356858223125286	49.0	98.0	9.090909090909092	58870496.0
A006200072_119958	87.57674552804765	53411662	86.37	52678326.0					
A006200072_119958_1					65.89889410427529	49.0	99.0	27.27272727272727	60988407.0
A006200072_119958_2					63.217612890129416	49.0	98.0	9.090909090909092	60988407.0
A006200072_119960	88.03346746919178	44566979	87.0	44041300.0					
A006200072_119960_1					63.78991595765729	49.0	99.0	27.27272727272727	50625041.0
A006200072_119960_2					61.23492093683993	49.0	98.0	9.090909090909092	50625041.0
A006200072_119962	88.03764445173155	47117021	86.5	46293067.0					
A006200072_119962_1					64.56330194583376	49.0	99.0	27.27272727272727	53519175.0
A006200072_119962_2					62.086648139153056	49.0	98.0	9.090909090909092	53519175.0
A006200072_119964	88.22142385925596	44777740	86.91	44112617.0					
A006200072_119964_1					63.83048908173539	49.0	99.0	27.27272727272727	50756084.0
A006200072_119964_2					61.2333884720697	49.0	98.0	9.090909090909092	50756084.0
A006200072_119966	88.20673503163013	48421328	87.25	47894152.0					
A006200072_119966_1					64.17397960846854	49.0	99.0	27.27272727272727	54895273.0
A006200072_119966_2					61.362238292296595	49.0	98.0	9.090909090909092	54895273.0
A006200072_119968	87.66707323485755	49749458	88.23	50067650.0					
A006200072_119968_1					63.95373483549541	49.0	99.0	27.27272727272727	56748168.0
A006200072_119968_2					61.63918230341813	49.0	98.0	9.090909090909092	56748168.0
A006200072_119970	83.81592691439099	43481118	87.2	45235715.0					
A006200072_119970_1					60.42246038234864	49.0	99.0	27.27272727272727	51876916.0
A006200072_119970_2					57.823733107806106	49.0	98.0	9.090909090909092	51876916.0
A006200072_119972	84.55344196681935	54355515	88.09	56627104.0					
A006200072_119972_1					63.499384431726654	49.0	99.0	27.27272727272727	64285396.0
A006200072_119972_2					62.09457603190713	49.0	98.0	9.090909090909092	64285396.0
A006200072_119974	83.38345318913697	41654691	87.49	43705420.0					
A006200072_119974_1					59.71890375230078	49.0	99.0	27.27272727272727	49955584.0
A006200072_119974_2					57.2933945583724	49.0	98.0	9.090909090909092	49955584.0
A006200072_119976	84.21149812688789	44914232	87.9	46883633.0					
A006200072_119976_1					59.99320056368169	49.0	99.0	27.27272727272727	53335035.0
A006200072_119976_2					57.68046599057403	49.0	98.0	9.090909090909092	53335035.0
A006200072_119978	85.14897984940916	44662394	86.11	45165627.0					
A006200072_119978_1					60.54339216698778	49.0	99.0	27.27272727272727	52452060.0
A006200072_119978_2					57.30928715408707	49.0	98.0	9.090909090909092	52452060.0
A006200072_119980	84.15195659713686	47626245	84.7	47936820.0					
A006200072_119980_1					61.80206858498832	49.0	99.0	27.27272727272727	56595529.0
A006200072_119980_2					58.82280735452416	50.0	98.0	9.090909090909092	56595529.0
A006200072_119982	87.18637538099017	43414385	87.31	43478123.0					
A006200072_119982_1					62.20095720395297	49.0	99.0	27.27272727272727	49794919.0
A006200072_119982_2					59.65782444840535	49.0	98.0	9.090909090909092	49794919.0
A006200072_119984	87.63014386330508	49845824	89.65	50995650.0					
A006200072_119984_1					63.87368518472638	49.0	99.0	27.27272727272727	56882052.0
A006200072_119984_2					62.12163058724038	49.0	98.0	9.090909090909092	56882052.0
A006200072_119986	87.6885611132765	47953178	87.61	47909508.0					
A006200072_119986_1					63.250693492389885	49.0	99.0	27.27272727272727	54685785.0
A006200072_119986_2					60.380441441975215	49.0	98.0	9.090909090909092	54685785.0
A006200072_119988	84.05845418634877	50751967	89.86	54256028.0					
A006200072_119988_1					62.280625165035396	49.0	99.0	27.27272727272727	60376993.0
A006200072_119988_2					60.663434858327626	49.0	98.0	9.090909090909092	60376993.0
A006200072_119990	83.5917582615491	41843009	88.6	44348251.0					
A006200072_119990_1					59.83509137721468	49.0	99.0	27.27272727272727	50056381.0
A006200072_119990_2					57.70921389802899	49.0	98.0	9.090909090909092	50056381.0
A006200072_119992	83.99859714592549	54967023	89.23	58393523.0					
A006200072_119992_1					63.248394048303794	49.0	99.0	27.27272727272727	65438025.0
A006200072_119992_2					61.42467355027	49.0	98.0	9.090909090909092	65438025.0
A006200072_119994	84.89116308987083	41641686	88.81	43562003.0					
A006200072_119994_1					59.77450570250917	49.0	99.0	27.27272727272727	49053028.0
A006200072_119994_2					57.61061929365384	49.0	98.0	9.090909090909092	49053028.0
A006200072_119996	85.59024349236067	48055772	90.54	50836628.0					
A006200072_119996_1					61.51798570441129	49.0	99.0	27.27272727272727	56146320.0
A006200072_119996_2					59.95746810655208	49.0	98.0	9.090909090909092	56146320.0
A006200072_119998	85.10279996253732	41535190	87.36	42636493.0					
A006200072_119998_1					59.893674433012045	49.0	99.0	27.27272727272727	48805903.0
A006200072_119998_2					56.59665162754334	49.0	98.0	9.090909090909092	48805903.0
