Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
A006200072_119952	1.3.0	none	vb	[]	1	['ISR']	1001	174.1540539947682	62.80477007184084	True	True	4096	mapping	False	227224	194	951997	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	59343580	52559979	1956717	3431792	2868613	28179299	88.56893871249426	quant	Tue Aug 04 18:22:18 2020	Tue Aug 04 18:29:05 2020
A006200072_119954	1.3.0	none	vb	[]	1	['ISR']	1001	174.30985067589714	63.57793827162952	True	True	4096	mapping	False	227224	194	822583	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	46633939	40942602	1629234	2837978	2390175	21931366	87.79571890763935	quant	Tue Aug 04 18:29:08 2020	Tue Aug 04 18:34:33 2020
A006200072_119956	1.3.0	none	vb	[]	1	['ISR']	1001	170.3335709179229	60.88073356957822	True	True	4096	mapping	False	227224	194	907860	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	58870496	51561480	2023212	4134502	3135839	29543705	87.58458566409905	quant	Tue Aug 04 18:34:36 2020	Tue Aug 04 18:40:29 2020
A006200072_119958	1.3.0	none	vb	[]	1	['ISR']	1001	166.85118774021615	59.136316594177195	True	True	4096	mapping	False	227224	194	841690	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	60988407	53411662	2100820	4927304	3396423	32748601	87.57674552804765	quant	Tue Aug 04 18:40:32 2020	Tue Aug 04 18:47:50 2020
A006200072_119960	1.3.0	none	vb	[]	1	['ISR']	1001	172.07183213006658	63.41532957285423	True	True	4096	mapping	False	227224	194	801334	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	50625041	44566979	1739868	3595245	2694348	25979381	88.03346746919178	quant	Tue Aug 04 18:47:53 2020	Tue Aug 04 18:54:36 2020
A006200072_119962	1.3.0	none	vb	[]	1	['ISR']	1001	168.8587087879688	59.57296386644378	True	True	4096	mapping	False	227224	194	870034	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	53519175	47117021	1851042	3902826	2879775	27735121	88.03764445173155	quant	Tue Aug 04 18:54:38 2020	Tue Aug 04 19:01:01 2020
A006200072_119964	1.3.0	none	vb	[]	1	['ISR']	1001	167.6117072691785	58.31067456009591	True	True	4096	mapping	False	227224	194	832774	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	50756084	44777740	1718794	3639695	2706331	27106866	88.22142385925596	quant	Tue Aug 04 19:01:04 2020	Tue Aug 04 19:06:45 2020
A006200072_119966	1.3.0	none	vb	[]	1	['ISR']	1001	171.45724407478767	60.972129160027436	True	True	4096	mapping	False	227224	194	864208	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	54895273	48421328	1871102	3219595	2812865	27103792	88.20673503163013	quant	Tue Aug 04 19:06:47 2020	Tue Aug 04 19:12:32 2020
A006200072_119968	1.3.0	none	vb	[]	1	['ISR']	1001	172.6522718860386	61.831627198619884	True	True	4096	mapping	False	227224	194	803266	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	56748168	49749458	1979079	3361600	2949757	28570401	87.66707323485755	quant	Tue Aug 04 19:12:35 2020	Tue Aug 04 19:19:21 2020
A006200072_119970	1.3.0	none	vb	[]	1	['ISR']	1001	172.76003970169808	62.367832903749914	True	True	4096	mapping	False	227224	194	819384	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	51876916	43481118	2350248	3167955	3729169	30765460	83.81592691439099	quant	Tue Aug 04 19:19:24 2020	Tue Aug 04 19:27:17 2020
