Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
A006200072_119952	59343580.0	197.0	50820447.0	85.64	195.38	31680145.0	31664436.0	31380360.0	244907.0	37031.0	17847.0	0.14	0.01	1.7	0.01	1.45	2405673.0	4.05	6401.0	0.01	0.04	10.23	0.03	23732	6069528	17799
A006200072_119954	46633939.0	197.0	40516177.0	86.88	195.35	24280516.0	24267172.0	24049291.0	188388.0	28759.0	14078.0	0.15	0.01	1.69	0.01	1.46	1629388.0	3.49	5103.0	0.01	0.05	9.53	0.03	23326	4445949	13996
A006200072_119956	58870496.0	197.0	50131214.0	85.16	195.21	30384424.0	30368287.0	30093478.0	237798.0	35821.0	17327.0	0.15	0.01	1.69	0.01	1.46	2189513.0	3.72	6767.0	0.01	0.05	11.03	0.03	29446	6495888	17668
A006200072_119958	60988407.0	197.0	52678326.0	86.37	195.07	32061557.0	32041910.0	31754719.0	249172.0	40089.0	17577.0	0.15	0.01	1.7	0.01	1.46	2259471.0	3.7	7698.0	0.01	0.05	9.83	0.04	30458	5988087	24367
A006200072_119960	50625041.0	197.0	44041300.0	87.0	195.21	27028541.0	27012285.0	26770602.0	209351.0	33787.0	14801.0	0.14	0.01	1.7	0.01	1.45	1849946.0	3.65	6421.0	0.01	0.04	9.26	0.04	20246	4686883	20246
A006200072_119962	53519175.0	197.0	46293067.0	86.5	195.17	28340953.0	28323882.0	28070298.0	220143.0	34878.0	15634.0	0.15	0.01	1.71	0.01	1.45	1949757.0	3.64	6631.0	0.01	0.05	9.76	0.04	26750	5221570	21400
A006200072_119964	50756084.0	197.0	44112617.0	86.91	195.19	27584538.0	27563879.0	27318962.0	217705.0	31192.0	16679.0	0.15	0.01	1.7	0.01	1.46	1922179.0	3.79	7878.0	0.02	0.05	9.2	0.04	25368	4667747	20295
A006200072_119966	54895273.0	197.0	47894152.0	87.25	195.38	29228844.0	29206678.0	28946865.0	231409.0	33049.0	17521.0	0.15	0.01	1.71	0.01	1.46	2043731.0	3.72	8273.0	0.02	0.05	8.93	0.04	27434	4899736	21947
A006200072_119968	56748168.0	197.0	50067650.0	88.23	195.38	31073608.0	31050748.0	30773378.0	246784.0	34793.0	18653.0	0.14	0.01	1.71	0.01	1.47	2193419.0	3.87	8565.0	0.02	0.05	7.81	0.04	28345	4427513	22676
A006200072_119970	51876916.0	197.0	45235715.0	87.2	195.3	28003377.0	27957531.0	27704773.0	239796.0	38074.0	20734.0	0.15	0.01	1.75	0.01	1.46	2035260.0	3.92	14268.0	0.03	0.05	8.74	0.06	25942	4534601	31130
A006200072_119972	64285396.0	197.0	56627104.0	88.09	195.35	35585133.0	35528185.0	35203761.0	305648.0	49629.0	26095.0	0.14	0.01	1.75	0.01	1.46	2622069.0	4.08	17625.0	0.03	0.04	7.7	0.06	25736	4954257	38605
A006200072_119974	49955584.0	197.0	43705420.0	87.49	195.13	26849949.0	26806014.0	26566521.0	227997.0	35504.0	19927.0	0.15	0.01	1.74	0.01	1.48	1969428.0	3.94	13812.0	0.03	0.04	8.43	0.06	20009	4216901	30014
A006200072_119976	53335035.0	197.0	46883633.0	87.9	195.27	28358039.0	28321132.0	28066110.0	235840.0	31310.0	24779.0	0.15	0.01	1.75	0.01	1.46	2050602.0	3.84	14639.0	0.03	0.05	8.11	0.07	26647	4322207	37306
A006200072_119978	52452060.0	197.0	45165627.0	86.11	195.23	27842992.0	27806779.0	27559438.0	229862.0	30340.0	23352.0	0.15	0.01	1.74	0.01	1.46	1975072.0	3.77	13578.0	0.03	0.05	9.98	0.06	26253	5240027	31503
A006200072_119980	56595529.0	197.0	47936820.0	84.7	194.78	29425599.0	29387340.0	29125046.0	243869.0	32132.0	24552.0	0.16	0.01	1.74	0.01	1.45	2099147.0	3.71	14675.0	0.03	0.05	11.44	0.07	28308	6476947	39632
A006200072_119982	49794919.0	197.0	43478123.0	87.31	195.29	26088853.0	26065664.0	25835196.0	205960.0	30944.0	16753.0	0.14	0.01	1.71	0.01	1.47	1884138.0	3.78	9213.0	0.02	0.04	8.79	0.05	19925	4378613	24907
A006200072_119984	56882052.0	197.0	50995650.0	89.65	195.49	31484005.0	31456862.0	31178334.0	249589.0	36217.0	19865.0	0.14	0.01	1.72	0.01	1.44	2271538.0	3.99	10874.0	0.02	0.04	6.25	0.05	22738	3552829	28423
A006200072_119986	54685785.0	197.0	47909508.0	87.61	195.35	28994965.0	28970290.0	28711488.0	230880.0	34247.0	18350.0	0.15	0.01	1.71	0.01	1.46	2036450.0	3.72	10048.0	0.02	0.05	8.55	0.05	27340	4675099	27340
A006200072_119988	60376993.0	197.0	54256028.0	89.86	195.44	33056547.0	33000164.0	32701673.0	282997.0	47262.0	24615.0	0.15	0.01	1.72	0.01	1.45	2349010.0	3.89	17149.0	0.03	0.04	6.11	0.06	24186	3694342	36278
A006200072_119990	50056381.0	197.0	44348251.0	88.6	195.28	27194307.0	27147840.0	26902377.0	233461.0	38680.0	19789.0	0.15	0.01	1.72	0.01	1.45	1943852.0	3.88	14912.0	0.03	0.04	7.38	0.06	20050	3699241	30075
A006200072_119992	65438025.0	197.0	58393523.0	89.23	195.29	35930247.0	35870113.0	35545084.0	307421.0	51390.0	26352.0	0.15	0.01	1.72	0.01	1.47	2515738.0	3.84	18188.0	0.03	0.04	6.79	0.06	26186	4445110	39279
A006200072_119994	49053028.0	197.0	43562003.0	88.81	195.28	26508014.0	26471679.0	26234968.0	220006.0	29940.0	23100.0	0.15	0.01	1.74	0.01	1.44	1815227.0	3.7	13722.0	0.03	0.04	7.36	0.06	19636	3612987	29454
A006200072_119996	56146320.0	197.0	50836628.0	90.54	195.79	31161570.0	31119853.0	30841705.0	256645.0	35752.0	27468.0	0.14	0.01	1.73	0.01	1.43	2002211.0	3.57	14760.0	0.03	0.04	5.76	0.06	22476	3236531	33714
A006200072_119998	48805903.0	197.0	42636493.0	87.36	195.29	25465932.0	25431387.0	25208187.0	206971.0	29228.0	21546.0	0.15	0.01	1.72	0.01	1.45	1693093.0	3.47	12831.0	0.03	0.05	9.03	0.06	24417	4409768	29301
