Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
A006200072_119952_1	A006200072_119952_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59343580.0	0.0	99.0	49.0	32.62386610034777	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119952_2	A006200072_119952_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59343580.0	0.0	98.0	49.0	35.543632089217716	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119954_1	A006200072_119954_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46633939.0	0.0	99.0	48.0	37.14812467067819	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119954_2	A006200072_119954_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46633939.0	0.0	98.0	48.0	39.93741382134572	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119956_1	A006200072_119956_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58870496.0	0.0	99.0	49.0	34.162161273022804	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119956_2	A006200072_119956_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58870496.0	0.0	98.0	49.0	37.643141776874714	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119958_1	A006200072_119958_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60988407.0	0.0	99.0	49.0	34.101105895724714	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119958_2	A006200072_119958_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60988407.0	0.0	98.0	49.0	36.782387109870584	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119960_1	A006200072_119960_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50625041.0	0.0	99.0	49.0	36.21008404234271	99.0	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
A006200072_119960_2	A006200072_119960_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50625041.0	0.0	98.0	49.0	38.76507906316007	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
